問,答え
"「店長・リーダーの目利き」に関して
下記の(　　④　　)に当てはまる内容を記載してください

① （　　①　　）として活動しているか
② 感じの良い接客ができるか
③ （　　②　　）を示しているか
④ 観察ができるか
⑤ 質問ができるか
⑥ 周囲の人の（　　③　　）を聞く事ができるか
⑦ 正しい事を見つけられるか
⑧ 良いプロセスを作る事ができるか
⑨ （　　④　　）があるか
⑩ 周囲の人に（　　⑤　　）されているか",向上心
"「店長・リーダーの目利き」に関して
下記の(　　⑤　　)に当てはまる内容を記載してください

① （　　①　　）として活動しているか
② 感じの良い接客ができるか
③ （　　②　　）を示しているか
④ 観察ができるか
⑤ 質問ができるか
⑥ 周囲の人の（　　③　　）を聞く事ができるか
⑦ 正しい事を見つけられるか
⑧ 良いプロセスを作る事ができるか
⑨ （　　④　　）があるか
⑩ 周囲の人に（　　⑤　　）されているか",信頼
" 「叱らない罪、（　　③　　）を与えない罪」の項目に関して
（　　①　　）に当てはまる内容を選択してください

部下が間違った行動をした場合は、上司は叱らないといけない。なぜなら（　　①　　）からです。また上司から自分の行動に対して何もFBが無ければ（　　②　　）がそがれてしまう。
上司は部下に質問を投げかけ、期待を伝えたりして一人ひとりに（　　③　　）を与え続けなければならない。",お店や部門の中で間違った考え・行動が蔓延する
"「叱らない罪、（　　③　　）を与えない罪」の項目に関して
（　　②　　）に当てはまる内容を記載してください

部下が間違った行動をした場合は、上司は叱らないといけない。なぜなら（　　①　　）からです。また上司から自分の行動に対して何もFBが無ければ（　　②　　）がそがれてしまう。
上司は部下に質問を投げかけ、期待を伝えたりして一人ひとりに（　　③　　）を与え続けなければならない。",成長意欲
"「叱らない罪、（　　③　　）を与えない罪」の項目に関して
（　　③　　）に当てはまる内容を記載してください

部下が間違った行動をした場合は、上司は叱らないといけない。なぜなら（　　①　　）からです。また上司から自分の行動に対して何もFBが無ければ（　　②　　）がそがれてしまう。
上司は部下に質問を投げかけ、期待を伝えたりして一人ひとりに（　　③　　）を与え続けなければならない。",課題
"「頑張る君」に関して
部下から「頑張ります！」と言われた時、上司としての対応で正しい内容を選択してください",仕事の目的や具体的な方法を聞き、部下にもう一度考えてもらう
"「2C＋Mで店を立て直す」の項目に関して
（　　　）に当てはまる内容を記載してください。

店舗の問題解決のために
(1)「（　　①　　）」から実態をイメージする
(2) お店の（　　②　　）と（　　③　　）を店長に確認する
(3) 店長とリーダーの（　　④　　）状態を確認する
(4) リーダーと従業員の（　　④　　）状態を確認する
(5) 一人ひとりの（　　⑤　　）を高める

（　　①　　）を記載してください。",数字
"「2C＋Mで店を立て直す」の項目に関して
（　　　）に当てはまる内容を記載してください。

店舗の問題解決のために
(1)「（　　①　　）」から実態をイメージする
(2) お店の（　　②　　）と（　　③　　）を店長に確認する
(3) 店長とリーダーの（　　④　　）状態を確認する
(4) リーダーと従業員の（　　④　　）状態を確認する
(5) 一人ひとりの（　　⑤　　）を高める

（　　②　　）を記載してください。",現状
"「2C＋Mで店を立て直す」の項目に関して
（　　　）に当てはまる内容を記載してください。

店舗の問題解決のために
(1)「（　　①　　）」から実態をイメージする
(2) お店の（　　②　　）と（　　③　　）を店長に確認する
(3) 店長とリーダーの（　　④　　）状態を確認する
(4) リーダーと従業員の（　　④　　）状態を確認する
(5) 一人ひとりの（　　⑤　　）を高める

（　　③　　）を記載してください。",解決策
"「2C＋Mで店を立て直す」の項目に関して
（　　　）に当てはまる内容を記載してください。

店舗の問題解決のために
(1)「（　　①　　）」から実態をイメージする
(2) お店の（　　②　　）と（　　③　　）を店長に確認する
(3) 店長とリーダーの（　　④　　）状態を確認する
(4) リーダーと従業員の（　　④　　）状態を確認する
(5) 一人ひとりの（　　⑤　　）を高める

（　　④　　）を記載してください。",ｺﾐｭﾆｹｰｼｮﾝ
"「2C＋Mで店を立て直す」の項目に関して
（　　　）に当てはまる内容を記載してください。

店舗の問題解決のために
(1)「（　　①　　）」から実態をイメージする
(2) お店の（　　②　　）と（　　③　　）を店長に確認する
(3) 店長とリーダーの（　　④　　）状態を確認する
(4) リーダーと従業員の（　　④　　）状態を確認する
(5) 一人ひとりの（　　⑤　　）を高める

（　　⑤　　）を記載してください。",ﾓﾁﾍﾞｰｼｮﾝ
"「育成面談」の項目に関して
（　　　）に当てはまる内容を記載してください。

育成面談の結果は、最終的には考課や給与に繋がるが、
本来の目的は個人の（　　①　　）を促すことである。
育成面談の準備では、メンバーの（　　②　　）な状況もわかっていた方が
メンバーの心に近いところで対話ができ、面談もスムーズに進む。

（　　①　　）を記載してください。",成長
"「育成面談」の項目に関して
（　　　）に当てはまる内容を記載してください。

育成面談の結果は、最終的には考課や給与に繋がるが、
本来の目的は個人の（　　①　　）を促すことである。
育成面談の準備では、メンバーの（　　②　　）な状況もわかっていた方が
メンバーの心に近いところで対話ができ、面談もスムーズに進む。

（　　②　　）を記載してください。",ﾌﾟﾗｲﾍﾞｰﾄ
"「育成面談」の項目に関して
誤っている内容を選択してください。",業績が低迷しているメンバーとの育成面談では、どんなプロセスが良くないかを特に深堀りし改善のコミットをもらうことが重要
"「評価時に見るべき項目」の項目に関して
部下の成果と仕事ぶりを正しく評価するための注意すべき項目の1つ目を答えてください。",部署内での貢献度、成長トレンド、ナレッジの創造・活用・共有
"「評価時に見るべき項目」の項目に関して
部下の成果と仕事ぶりを正しく評価するための注意すべき項目の2つ目を答えてください。",部署内での貢献度、成長トレンド、ナレッジの創造・活用・共有
"「評価時に見るべき項目」の項目に関して
部下の成果と仕事ぶりを正しく評価するための注意すべき項目の3つ目を答えてください。",部署内での貢献度、成長トレンド、ナレッジの創造・活用・共有
"「成長を促す褒め方」の項目に関して
（　　　）に当てはまる内容を記載してください。

なぜうまくいったかの要因を本人に（　　①　　）させ、
それを可能にした行動を褒めることで、
今後も成果につながる（　　②　　）を組み立てようという気になる。
高い成果を上げた部下に対しては、
結果の（　　③　　）だけでなく、そこに至る（　　②　　）を共に振り返り、
成果へとつながった部下の努力や工夫を見つけ、褒めるようにしてあげると良い。

（　　①　　）を記載してください。",分析
"「成長を促す褒め方」の項目に関して
（　　　）に当てはまる内容を記載してください。

なぜうまくいったかの要因を本人に（　　①　　）させ、
それを可能にした行動を褒めることで、
今後も成果につながる（　　②　　）を組み立てようという気になる。
高い成果を上げた部下に対しては、
結果の（　　③　　）だけでなく、そこに至る（　　②　　）を共に振り返り、
成果へとつながった部下の努力や工夫を見つけ、褒めるようにしてあげると良い。

（　　②　　）を記載してください。",ﾌﾟﾛｾｽ
"「成長を促す褒め方」の項目に関して
（　　　）に当てはまる内容を記載してください。

なぜうまくいったかの要因を本人に（　　①　　）させ、
それを可能にした行動を褒めることで、
今後も成果につながる（　　②　　）を組み立てようという気になる。
高い成果を上げた部下に対しては、
結果の（　　③　　）だけでなく、そこに至る（　　②　　）を共に振り返り、
成果へとつながった部下の努力や工夫を見つけ、褒めるようにしてあげると良い。

（　　③　　）を記載してください。",数字
"「多数決の誘惑」の項目に関して
（　　　）に当てはまる内容を記載してください。

多数決で物事を決めようとすると（　　①　　）が曖昧となり、
判断が間違っていた場合でも個人がとがめられることがないため、
正しい解決策よりも（　　②　　）を選ぶ可能性が高いので良くない。

（　　①　　）を記載してください。",責任の所在
"「多数決の誘惑」の項目に関して
（　　　）に当てはまる内容を記載してください。

多数決で物事を決めようとすると（　　①　　）が曖昧となり、
判断が間違っていた場合でも個人がとがめられることがないため、
正しい解決策よりも（　　②　　）を選ぶ可能性が高いので良くない。

（　　②　　）を記載してください。",楽な解決策
"「アクションプランナー」の項目に関して
次の中で正しい内容を選択してください。
（複数回答、全てあっていて正解）",「～にかかる費用を20％削減する」などの定量目標を設計すると良い、慎重な部下からも「これならできそうです」と言ってもらえるような具体策があると良い（二個あってて正解）
"「信賞必罰」の項目に関して
基本となる3つのポイントのうち1つ目を記載してください。",具体的にはっきりと話す、個人名を明らかにする、褒めるのも叱るのもオープンに
"「信賞必罰」の項目に関して
基本となる3つのポイントのうち1つ目を記載してください。",具体的にはっきりと話す、個人名を明らかにする、褒めるのも叱るのもオープンに
"「信賞必罰」の項目に関して
基本となる3つのポイントのうち1つ目を記載してください。",具体的にはっきりと話す、個人名を明らかにする、褒めるのも叱るのもオープンに
"「実行力を高める会議」に関して
（　　　）に当てはまる内容を記載してください。

実行力の高い会議にするために、「リーダーが必ずやるべき3つのこと」は
（　①　）…多くのメンバーに意見を出してもらい参加した意識になってもらう。
（　②　）…いつまでに誰が何をどのように行うのかアクションプランを決めること。
（　③　）…会議で決まったことを全員に共有し、出席していないメンバーに正確に伝える。

（　①　）を記載してください。",議する
"「実行力を高める会議」に関して
（　　　）に当てはまる内容を記載してください。

実行力の高い会議にするために、「リーダーが必ずやるべき3つのこと」は
（　①　）…多くのメンバーに意見を出してもらい参加した意識になってもらう。
（　②　）…いつまでに誰が何をどのように行うのかアクションプランを決めること。
（　③　）…会議で決まったことを全員に共有し、出席していないメンバーに正確に伝える。

（　②　）を記載してください。",決する
"「実行力を高める会議」に関して
（　　　）に当てはまる内容を記載してください。

実行力の高い会議にするために、「リーダーが必ずやるべき3つのこと」は
（　①　）…多くのメンバーに意見を出してもらい参加した意識になってもらう。
（　②　）…いつまでに誰が何をどのように行うのかアクションプランを決めること。
（　③　）…会議で決まったことを全員に共有し、出席していないメンバーに正確に伝える。

（　③　）を記載してください。",書する
"「（　①　）と（　②　）と（　③　）」の項目で （　　）  に当てはまる内容を記載してください。

メンバーからの提案を認める際には、最悪どれくらいの（　①　）が出るのか聞くようにする。
それ以外にも提案の「（　②　）」を聞いて、費用対効果や具体的な進め方を整理する。
そして、その提案に対してメンバー自身を（　③　）させる。
これらを行うことで、メンバーも自分が成した提案の意味を再確認することができ、（　④　）の企画になる。

（　①　）を記載してください。",損害
"「（　①　）と（　②　）と（　③　）」の項目で （　　）  に当てはまる内容を記載してください。

メンバーからの提案を認める際には、最悪どれくらいの（　①　）が出るのか聞くようにする。
それ以外にも提案の「（　②　）」を聞いて、費用対効果や具体的な進め方を整理する。
そして、その提案に対してメンバー自身を（　③　）させる。
これらを行うことで、メンバーも自分が成した提案の意味を再確認することができ、（　④　）の企画になる。

（　②　）を記載してください。",前提
"「（　①　）と（　②　）と（　③　）」の項目で （　　）  に当てはまる内容を記載してください。

メンバーからの提案を認める際には、最悪どれくらいの（　①　）が出るのか聞くようにする。
それ以外にも提案の「（　②　）」を聞いて、費用対効果や具体的な進め方を整理する。
そして、その提案に対してメンバー自身を（　③　）させる。
これらを行うことで、メンバーも自分が成した提案の意味を再確認することができ、（　④　）の企画になる。

（　③　）を記載してください。",ｺﾐｯﾄ
"「（　①　）と（　②　）と（　③　）」の項目で （　　）  に当てはまる内容を記載してください。

メンバーからの提案を認める際には、最悪どれくらいの（　①　）が出るのか聞くようにする。
それ以外にも提案の「（　②　）」を聞いて、費用対効果や具体的な進め方を整理する。
そして、その提案に対してメンバー自身を（　③　）させる。
これらを行うことで、メンバーも自分が成した提案の意味を再確認することができ、（　④　）の企画になる。

（　④　）を記載してください。",2.56
"「計数」の項目で
（　　）に当てはまる内容を記載してください。

組織の問題を発見し、改善していく上で必ず把握をしてほしい3つの計数は、
（　①　）：メンバー1人ひとりのパフォーマンス
（　②　）：リーダー自身のマネジメントパフォーマンス
（　③　）：買い場の鮮度

（　①　）を記載してください。",個人の時間当たり受注
"「計数」の項目で
（　　）に当てはまる内容を記載してください。

組織の問題を発見し、改善していく上で必ず把握をしてほしい3つの計数は、
（　①　）：メンバー1人ひとりのパフォーマンス
（　②　）：リーダー自身のマネジメントパフォーマンス
（　③　）：買い場の鮮度

（　②　）を記載してください。",対前年比受注
"「計数」の項目で
（　　）に当てはまる内容を記載してください。

組織の問題を発見し、改善していく上で必ず把握をしてほしい3つの計数は、
（　①　）：メンバー1人ひとりのパフォーマンス
（　②　）：リーダー自身のマネジメントパフォーマンス
（　③　）：買い場の鮮度

（　③　）を記載してください。",対前年比在庫額
"「成長できるチャンス」 の項目で（　　）に当てはまる内容を記載してください。

部下が変わろうとするタイミング、すなわち成長できるチャンスは見逃さない事が重要。
「部下が大きく成長できる場面は」
（　①　）：大きく間違っていなければ出来るだけそのまま承認して、やり遂げるのを見守る。
（　②　）：本人から具体的な目標数値を引き出す。
（　③　）：次の機会に成功できるように導く。

（　①　）を記載してください。",部下が自分から意見を言ってきた時
"「成長できるチャンス」 の項目で（　　）に当てはまる内容を記載してください。

部下が変わろうとするタイミング、すなわち成長できるチャンスは見逃さない事が重要。
「部下が大きく成長できる場面は」
（　①　）：大きく間違っていなければ出来るだけそのまま承認して、やり遂げるのを見守る。
（　②　）：本人から具体的な目標数値を引き出す。
（　③　）：次の機会に成功できるように導く。

（　②　）を記載してください。",部下が自分の意見に逆らった時
"「成長できるチャンス」 の項目で（　　）に当てはまる内容を記載してください。

部下が変わろうとするタイミング、すなわち成長できるチャンスは見逃さない事が重要。
「部下が大きく成長できる場面は」
（　①　）：大きく間違っていなければ出来るだけそのまま承認して、やり遂げるのを見守る。
（　②　）：本人から具体的な目標数値を引き出す。
（　③　）：次の機会に成功できるように導く。

（　③　）を記載してください。",部下が自らの失敗を認め改善に向かう時
"5-1「持続する動機づけ」   の項目で（　　）に当てはまる内容を記載してください。

人のモチベーションを高めるものには、
目標達成によるインセンティブや昇進、降格や権限の剥奪などの「（　①　）」と
自分の中に存在する行動を引き起こす
「（　②　）」の2つがある。

（　①　）を記載してください。",外発的動機づけ要因
"「持続する動機づけ」   の項目で（　　）に当てはまる内容を記載してください。

人のモチベーションを高めるものには、
目標達成によるインセンティブや昇進、降格や権限の剥奪などの「（　①　）」と
自分の中に存在する行動を引き起こす
「（　②　）」の2つがある。

（　②　）を記載してください。",内発的動機づけ要因
"「失敗でわかる成長する人しない人」の項目で（　　）に当てはまる内容を記載してください。

「失敗の認め方」の違いによって、部下への接し方を変える。
失敗したときに自ら認め、そのことを（　①　）にできる人に対しては厳しく叱らず、本人が改善策を実行し、それがうまくいったら（　②　）ようにする。
失敗を素直に認められない人は（　③　）できない。
失敗を隠そうとする人に対してはマネジャーは必ずオープンな場で叱るようにするべき。
マネジャーとして仕事をするうえで、部下の（　④　）や（　⑤　）を正しく把握することが不可欠。

（　①　）を記載してください。","ｵｰﾌﾟﾝ
"
"「失敗でわかる成長する人しない人」の項目で（　　）に当てはまる内容を記載してください。

「失敗の認め方」の違いによって、部下への接し方を変える。
失敗したときに自ら認め、そのことを（　①　）にできる人に対しては厳しく叱らず、本人が改善策を実行し、それがうまくいったら（　②　）ようにする。
失敗を素直に認められない人は（　③　）できない。
失敗を隠そうとする人に対してはマネジャーは必ずオープンな場で叱るようにするべき。
マネジャーとして仕事をするうえで、部下の（　④　）や（　⑤　）を正しく把握することが不可欠。

（　②　）を記載してください。",褒める
"「失敗でわかる成長する人しない人」の項目で（　　）に当てはまる内容を記載してください。

「失敗の認め方」の違いによって、部下への接し方を変える。
失敗したときに自ら認め、そのことを（　①　）にできる人に対しては厳しく叱らず、本人が改善策を実行し、それがうまくいったら（　②　）ようにする。
失敗を素直に認められない人は（　③　）できない。
失敗を隠そうとする人に対してはマネジャーは必ずオープンな場で叱るようにするべき。
マネジャーとして仕事をするうえで、部下の（　④　）や（　⑤　）を正しく把握することが不可欠。

（　③　）を記載してください。",成長
"「失敗でわかる成長する人しない人」の項目で（　　）に当てはまる内容を記載してください。

「失敗の認め方」の違いによって、部下への接し方を変える。
失敗したときに自ら認め、そのことを（　①　）にできる人に対しては厳しく叱らず、本人が改善策を実行し、それがうまくいったら（　②　）ようにする。
失敗を素直に認められない人は（　③　）できない。
失敗を隠そうとする人に対してはマネジャーは必ずオープンな場で叱るようにするべき。
マネジャーとして仕事をするうえで、部下の（　④　）や（　⑤　）を正しく把握することが不可欠。

（　④　）を記載してください。",性格、考え方（順不同）
"「失敗でわかる成長する人しない人」の項目で（　　）に当てはまる内容を記載してください。

「失敗の認め方」の違いによって、部下への接し方を変える。
失敗したときに自ら認め、そのことを（　①　）にできる人に対しては厳しく叱らず、本人が改善策を実行し、それがうまくいったら（　②　）ようにする。
失敗を素直に認められない人は（　③　）できない。
失敗を隠そうとする人に対してはマネジャーは必ずオープンな場で叱るようにするべき。
マネジャーとして仕事をするうえで、部下の（　④　）や（　⑤　）を正しく把握することが不可欠。

（　⑤　）を記載してください。",性格、考え方（順不同）
"「マネジャー5つの行動」に関して
（　　①　　）に当てはまる内容を記載してください

1,自ら学び、自ら(　　①　　)する。
2,自ら5Sし、自ら(　　②　　)を作る。
3,従業員を(　　③　　)から質問し、育成を行う。
4,個人名で気配りと(　　④　　)を行う。
5,自ら(　　⑤　　　)を出し、自ら他部門を応援する。",販買
"「マネジャー5つの行動」に関して
（　　②　　）に当てはまる内容を記載してください

1,自ら学び、自ら(　　①　　)する。
2,自ら5Sし、自ら(　　②　　)を作る。
3,従業員を(　　③　　)から質問し、育成を行う。
4,個人名で気配りと(　　④　　)を行う。
5,自ら(　　⑤　　)を出し、自ら他部門を応援する。",買い場
"「マネジャー5つの行動」に関して
（　　③　　）に当てはまる内容を記載してください

1,自ら学び、自ら(　　①　　)する。
2,自ら5Sし、自ら(　　②　　)を作る。
3,従業員を(　　③　　)から質問し、育成を行う。
4,個人名で気配りと(　　④　　)を行う。
5,自ら(　　⑤　　)を出し、自ら他部門を応援する。",観察
"「マネジャー5つの行動」に関して
（　　④　　）に当てはまる内容を記載してください

1,自ら学び、自ら(　　①　　)する。
2,自ら5Sし、自ら(　　②　　)を作る。
3,従業員を(　　③　　)から質問し、育成を行う。
4,個人名で気配りと(　　④　　)を行う。
5,自ら(　　⑤　　)を出し、自ら他部門を応援する。",信賞必罰
"「マネジャー5つの行動」に関して
（　　⑤　　）に当てはまる内容を記載してください

1,自ら学び、自ら(　　①　　)する。
2,自ら5Sし、自ら(　　②　　)を作る。
3,従業員を(　　③　　)から質問し、育成を行う。
4,個人名で気配りと(　　④　　)を行う。
5,自ら(　　⑤　　)を出し、自ら他部門を応援する。",ｱｲﾃﾞｨｱ
"2-1「相談されないリーダー」の項目に関して
（　　①　　）に当てはまる内容を記載してください

メンバーから相談を受けたら、その場ですぐに（　　①　　）、（　　②　　）すること。
そして自分では判断できないこと・わからないことは、（　　③　　）をすぐに見つけ
（　　④　　）で回答すること。",対応、決断
"2-2「相談されないリーダー」の項目に関して
（　　②　　）に当てはまる内容を記載してください

メンバーから相談を受けたら、その場ですぐに（　　①　　）、（　　②　　）すること。
そして自分では判断できないこと・わからないことは、（　　③　　）をすぐに見つけ
（　　④　　）で回答すること。",対応、決断
"2-3「相談されないリーダー」の項目に関して
（　　③　　）に当てはまる内容を記載してください

メンバーから相談を受けたら、その場ですぐに（　　①　　）、（　　②　　）すること。
そして自分では判断できないこと・わからないことは、（　　③　　）をすぐに見つけ
（　　④　　）で回答すること。",相談すべき相手/相談先
"2-4「相談されないリーダー」の項目に関して
（　　④　　）に当てはまる内容を記載してください

メンバーから相談を受けたら、その場ですぐに（　　①　　）、（　　②　　）すること。
そして自分では判断できないこと・わからないことは、（　　③　　）をすぐに見つけ
（　　④　　）で回答すること。",期日指定
"「マネジャーとは」の項目に関して
 （　　①　　） に当てはまる内容を記載してください

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。",自主性
"「マネジャーとは」の項目に関して
 （　　②　　） に当てはまる内容を記載してください

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。",納得
"「マネジャーとは」の項目に関して
 （　　③　　） に当てはまる内容を記載してください

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。",目的もしくは目標
"「マネジャーとは」の項目に関して
 （　　④　　） に当てはまる内容を記載してください

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。",導く
"「街宣車」の項目に関して
内容に関して次の中で正しい内容を選択してください",部下からのアイデアはまずは提案してくれたことに感謝し喜んであげることが大事
"「マーケットシェアとマインドシェア」の項目に関して
（　　①　　）に当てはまる内容を記載してください

マインドシェアを高める秘訣は、
（　　①　　）を集め、
（　　②　　）をしていただき、
（　　③　　）を増やしていくこと",良いお客様
"「マーケットシェアとマインドシェア」の項目に関して
（　　②　　）に当てはまる内容を記載してください

マインドシェアを高める秘訣は、
（　　①　　）を集め、
（　　②　　）をしていただき、
（　　③　　）を増やしていくこと",良い購買体験
"「マーケットシェアとマインドシェア」の項目に関して
（　　③　　）に当てはまる内容を記載してください

マインドシェアを高める秘訣は、
（　　①　　）を集め、
（　　②　　）をしていただき、
（　　③　　）を増やしていくこと",良い口コミ
"「成長できるチャンス」の項目に関して
育成において部下が成長するチャンスを逃さないことは非常に重要ですが、部下が大きく成長できるチャンスの1つ目を答えてください　※順不同",部下が自分から意見を言ってきた時、部下が自分の意見に逆らった時、部下が自らの失敗を認め改善に向かう時
"「成長できるチャンス」の項目に関して
育成において部下が成長するチャンスを逃さないことは非常に重要ですが、部下が大きく成長できるチャンスの2つ目を答えてください　※順不同",部下が自分から意見を言ってきた時、部下が自分の意見に逆らった時、部下が自らの失敗を認め改善に向かう時
"「成長できるチャンス」の項目に関して
育成において部下が成長するチャンスを逃さないことは非常に重要ですが、部下が大きく成長できるチャンスの3つ目を答えてください　※順不同",部下が自分から意見を言ってきた時、部下が自分の意見に逆らった時、部下が自らの失敗を認め改善に向かう時
マネジャー5つの行動の①を答えてください。,自ら学び、自ら販買する
マネジャー5つの行動の②を答えてください。,自ら5Sし、自ら買い場を作る
マネジャー5つの行動の③を答えてください。,従業員を観察から質問し、育成を行う
マネジャー5つの行動の④を答えてください。,個人名で気配りと信賞必罰を行う
マネジャー5つの行動の⑤を答えてください。,自らアイデアを出し、自ら他部門に応援をする
"「（　　①　　）な人、（　　②　　）な人」の項目で（　　）に当てはまる内容を記載してください。

上司の言うことを聞かなかったり、なかなか動かなかったりする人を良く観察すると、実は2タイプあることがわかります。
一方は、その仕事に取り組むべき理由がわかればきちんと動くタイプで（　　①　　）な人。
もう一方は、理由がわかろうがわかるまいが常に動かないタイプで、ねっからの（　　②　　）な人。
一見（　　①　　）な人の中にこそ、店舗や会社に大きな貢献をしてくれる人財がいるものです。

（　　①　　）を記載してください。",反抗的
"「（　　①　　）な人、（　　②　　）な人」の項目で（　　）に当てはまる内容を記載してください。

上司の言うことを聞かなかったり、なかなか動かなかったりする人を良く観察すると、実は2タイプあることがわかります。
一方は、その仕事に取り組むべき理由がわかればきちんと動くタイプで（　　①　　）な人。
もう一方は、理由がわかろうがわかるまいが常に動かないタイプで、ねっからの（　　②　　）な人。
一見（　　①　　）な人の中にこそ、店舗や会社に大きな貢献をしてくれる人財がいるものです。

（　　②　　）を記載してください。",鈍重
"「街宣車」の項目で（　　）に当てはまる内容を記載してください。

(メンバーからよい提案が上がってこない・・・。)と悩んでいる皆さん。
提案内容の（　　①　　）を判断する前に、まずは提案してくれたこと自体を（　　②　　）ください。
提案が出るということは、メンバーに（　　③　　）したい気持ちがある証拠だからです。

（　　①　　）を記載してください。",良し悪し
"「街宣車」の項目で（　　）に当てはまる内容を記載してください。

(メンバーからよい提案が上がってこない・・・。)と悩んでいる皆さん。
提案内容の（　　①　　）を判断する前に、まずは提案してくれたこと自体を（　　②　　）ください。
提案が出るということは、メンバーに（　　③　　）したい気持ちがある証拠だからです。

（　　②　　）を記載してください。",喜んで
"「街宣車」の項目で（　　）に当てはまる内容を記載してください。

(メンバーからよい提案が上がってこない・・・。)と悩んでいる皆さん。
提案内容の（　　①　　）を判断する前に、まずは提案してくれたこと自体を（　　②　　）ください。
提案が出るということは、メンバーに（　　③　　）したい気持ちがある証拠だからです。

（　　③　　）を記載してください。",貢献
ノジマが注力すべき顧客セグメントについて当てはまるものをすべて選択してください。,先進的で高品質な商品・サービスに興味を持ってくれるお客様、商品の良さや買った時のことを積極的に話してくれるお客様、高品質な商品・サービスの利点や効果をよく理解して購入してくださるお客様。三つあってて正解
"マインドシェアを高める秘訣を
ノジマウェイに記載の順番で回答してください。

1つ目を回答してください。",良いお客様を集める
"マインドシェアを高める秘訣を
ノジマウェイに記載の順番で回答してください。

2つ目を回答してください。",良い購買体験をしていただく
"マインドシェアを高める秘訣を
ノジマウェイに記載の順番で回答してください。

3つ目を回答してください。",良いクチコミを増やしていく
